review_count,1
businessParking_False,2
noiseLevel_quiet,3
noiseLevel_average,4
businessAcceptsCreditCards_False,5
noiseLevel_very_loud,6
Citizenship_Canadian_citizens_aged_18_and_over,7
Canada_Generation_status_Second_generation,8
restaurantsPriceRange_2,9
Canada_Generation_status_First_generation,10
Citizenship_Not_Canadian_citizens,11
Canada_Generation_status_Third_generation_or_more,12
restaurantsPriceRange_1,13
restaurantsPriceRange_3,14
Citizenship_Canadian_citizens_aged_under_18,15
Ethnic_Origin_Asian_origins,16
Ethnic_Origin_East_and_Southeast_Asian_origins,17
restaurantsAttire_casual,18
restaurantsDelivery_False,19
restaurantsAttire_formal,20
Ethnic_Origin_South_Asian_origins,21
Ethnic_Origin_West_Central_Asian_and_Middle_Eastern_origins,22
restaurantsTakeOut_False,23
Marital_Status_Married_or_living_common_law,24
restaurantsGoodForGroups_False,25
Marital_Status_Married,26
Marital_Status_Living_common_law,27
Class_of_worker__Employee,28
Class_of_worker__Self_employed,29
Household_status_Without_children_in_household,30
Ethnic_Origin_Other_African_origins,31
Work_location__Worked_at_home,32
Education__Secondary_high_school_diploma_or_equivalency_certificate,33
Education__Bachelors_degree,34
Ethnic_Origin_Caribbean_origins,35
Household_status_Single_person_household,36
Ethnic_Origin_North_American_Aboriginal_origins,37
Ethnic_Origin_Western_European_origins_except_French_origins,38
Method_of_commuting_Walked,39
Method_of_commuting_Public_transit,40
Marital_Status_Divorced,41
"Method_of_commuting_Car,_truck,_van___as_a_driver",42
Method_of_commuting_Other_method,43
Household_status_With_children_in_household,44
Ethnic_Origin_African_origins,45
Education__Masters_degree,46
Marital_Status_Never_married,47
Education__Earned_doctorate,48
"Education__No_certificate,_diploma_or_degree",49
Ethnic_Origin_Pacific_Islands_origins,50
Work_location__Worked_outside_Canada,51
Ethnic_Origin_European_origins,52
"Method_of_commuting_Car,_truck,_van___as_a_passenger",53
Ethnic_Origin_Southern_European_origins,54
Ethnic_Origin_Latin_Central_and_South_American_origins,55
Ethnic_Origin_Aboriginal_from_Central/South_America_except_Arawak_and_Maya,56
Ethnic_Origin_Other_Asian_origins,57
Work_location__No_fixed_workplace_address,58
Ethnic_Origin_Other_European_origins,59
Ethnic_Origin_First_Nations_North_American_Indian,60
Class_of_worker__Class_of_worker___not_applicable,61
Ethnic_Origin_French,62
wiFi_free,63
Ethnic_Origin_North_African_origins,64
alcohol_full_bar,65
Class_of_worker__All_classes_of_workers,66
smoking_outdoor,67
Marital_Status_Widowed,68
wiFi_paid,69
smoking_yes,70
restaurantsReservations_False,71
Marital_Status_Not_married_and_not_living_common_law,72
Low_Income_Status_Population_density_per_square_kilometre,73
Ethnic_Origin_West_Indian_nos,74
Ethnic_Origin_Northern_European_origins_except_British_Isles_origins,75
Ethnic_Origin_Black_nos,76
alcohol_none,77
Ethnic_Origin_Central_and_West_African_origins,78
Method_of_commuting_Bicycle,79
